Name,Date,Prev_close,Close,Per_diff
KNRCON,01-04-2020 00:00,196.5,210.45,7.099236641
KNRCON,04-05-2020 00:00,210.45,200.7,-4.632929437
KNRCON,01-06-2020 00:00,200.7,209.3,4.285002491
KNRCON,01-07-2020 00:00,209.3,210.6,0.621118012
KNRCON,03-08-2020 00:00,210.6,253.05,20.15669516
KNRCON,01-09-2020 00:00,253.05,256.25,1.264572219
KNRCON,01-10-2020 00:00,256.25,250.35,-2.302439024
KNRCON,02-11-2020 00:00,250.35,285.1,13.88056721
KNRCON,01-12-2020 00:00,285.1,324.4,13.78463697
KNRCON,01-01-2021 00:00,324.4,368.9,13.71763255
KNRCON,01-02-2021 00:00,368.9,206.6,-43.99566278
KNRCON,01-03-2021 00:00,206.6,213.4,3.291384318
KNRCON,01-04-2021 00:00,213.4,200.05,-6.255857545
KNRCON,03-05-2021 00:00,200.05,219.7,9.822544364
